category,text,transformed_text
1,Urgent! Please call 09061213237 from a landline. £5000 cash or a 4* holiday await collection. T &Cs SAE PO Box 177 M227XY. 16+,urgent please call 09061213237 landline cash 4 holiday await collection cs sae po box 177 m227xy
0,We are pleased to inform that your application for Airtel Broadband is processed successfully. Your installation will happen within 3 days.,pleased inform application airtel broadband processed successfully installation happen within 3 days
0,Who's there say hi to our drugdealer,say hi drugdealer
0,Hey... What time is your driving on fri? We go for evaluation on fri?,hey time driving fri go evaluation fri
0,I will come tomorrow di,come tomorrow di
0,Have you bookedthe hut? And also your time off? How are you by the way?,bookedthe hut also time way
0,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas,tessy pls favor pls convey birthday wishes nimya pls dnt forget today birthday shijas
0,"Alright omw, gotta change my order to a half8th",alright omw got ta change order half8th
0,At home by the way,home way
0,Missing you too.pray inshah allah,missing inshah allah
1,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",hot live fantasies call 08707509020 20p per min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate call
0,"Hiya, probably coming home * weekend after next",hiya probably coming home weekend next
0,Shall i start from hear.,shall start hear
0,Ya but it cant display internal subs so i gotta extract them,ya cant display internal subs got ta extract
1,You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX,guaranteed award even cashto claim ur award call free 08000407165 2 stop getstop 88222 php rg21 4jx
0,Lol I know! They're so dramatic. Schools already closed for tomorrow. Apparently we can't drive in the inch of snow were supposed to get.,lol know dramatic schools already closed tomorrow apparently ca drive inch snow supposed get
0,"Hiya , have u been paying money into my account? If so, thanks. Got a pleasant surprise when i checked my balance -u c, i don't get statements 4 that acc",hiya u paying money account thanks got pleasant surprise checked balance c get statements 4 acc
0,Thank u!,thank u
0,How many times i told in the stage all use to laugh. You not listen aha.,many times told stage use laugh listen aha
0,U having lunch alone? I now so bored...,u lunch alone bored
1,"Dear Matthew please call 09063440451 from a landline, your complimentary 4*Lux Tenerife holiday or £1000 CASH await collection. ppm150 SAE T&Cs Box334 SK38XH.",dear matthew please call 09063440451 landline complimentary 4 lux tenerife holiday cash await collection ppm150 sae cs box334 sk38xh
1,"URGENT! Last weekend's draw shows that you have won £1000 cash or a Spanish holiday! CALL NOW 09050000332 to claim. T&C: RSTM, SW7 3SS. 150ppm",urgent last weekend draw shows cash spanish holiday call 09050000332 claim c rstm sw7 3ss 150ppm
0,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",entered cabin pa said happy boss felt special askd 4 lunch lunch invited apartment went
0,Hmm. Shall i bring a bottle of wine to keep us amused? Just joking! I'll still bring a bottle. Red or white? See you tomorrow,hmm shall bring bottle wine keep us amused joking still bring bottle red white see tomorrow
0,Lolnice. I went from a fish to ..water.?,lolnice went fish water
0,Can't. I feel nauseous. I'm so pissed. I didn't eat any sweets all week cause today I was planning to pig out. I was dieting all week. And now I'm not hungry :/,ca feel nauseous pissed eat sweets week cause today planning pig dieting week hungry
0,"Honey ? Sweetheart ? Darling ? Sexy buns ? Sugar plum ? Loverboy ? I miss you, boytoy ... *smacks your ass* Did you go to the gym too ?",honey sweetheart darling sexy buns sugar plum loverboy miss boytoy smacks ass go gym
0,Surely result will offer:),surely result offer
0,How abt making some of the pics bigger?,abt making pics bigger
0,Im just wondering what your doing right now?,im wondering right
0,He is there. You call and meet him,call meet
0,Eh sorry leh... I din c ur msg. Not sad already lar. Me watching tv now. U still in office?,eh sorry leh din c ur msg sad already lar watching tv u still office
0,Ok i found dis pierre cardin one which looks normal costs 20 its on sale.,ok found dis pierre cardin one looks normal costs 20 sale
0,Congrats. That's great. I wanted to tell you not to tell me your score cos it might make me relax. But its motivating me so thanks for sharing,congrats great wanted tell tell score cos might make relax motivating thanks sharing
0,I want to tel u one thing u should not mistake me k THIS IS THE MESSAGE THAT YOU SENT:),want tel u one thing u mistake k message sent
0,Hey are we going for the lo lesson or gym? ,hey going lo lesson gym
0,Did u got that persons story,u got persons story
0,"Babe, I need your advice",babe need advice
0,Bbq this sat at mine from 6ish. Ur welcome 2 come,bbq sat mine 6ish ur welcome 2 come
0,Sitting in mu waiting for everyone to get out of my suite so I can take a shower,sitting mu waiting everyone get suite take shower
0,Thanks. It was only from tescos but quite nice. All gone now. Speak soon ,thanks tescos quite nice gone speak soon
0,Hey i will be really pretty late... You want to go for the lesson first? I will join you. I'm only reaching tp mrt,hey really pretty late want go lesson first join reaching tp mrt
0,Thanks. Fills me with complete calm and reassurance! ,thanks fills complete calm reassurance
0,Host-based IDPS for linux systems.,idps linux systems
0,"Lol you forgot it eh ? Yes, I'll bring it in babe",lol forgot eh yes bring babe
0,Pls help me tell Ashley that i cant find her number oh,pls help tell ashley cant find number oh
0,HI ITS JESS I DONT KNOW IF YOU ARE AT WORK BUT CALL ME WHEN U CAN IM AT HOME ALL EVE. XXX,hi jess dont know work call u im home eve xxx
0,So that takes away some money worries,takes away money worries
0,Ard 6 like dat lor.,ard 6 like dat lor
1,"SMS. ac JSco: Energy is high, but u may not know where 2channel it. 2day ur leadership skills r strong. Psychic? Reply ANS w/question. End? Reply END JSCO",sms ac jsco energy high u may know 2channel 2day ur leadership skills r strong psychic reply ans end reply end jsco
0,Hi i won't b ard 4 christmas. But do enjoy n merry x'mas.,hi wo b ard 4 christmas enjoy n merry
0,Sorry dude. Dont know how i forgot. Even after Dan reminded me. Sorry. Hope you guys had fun.,sorry dude dont know forgot even dan reminded sorry hope guys fun
0,O. Guess they both got screwd,guess got screwd
0,After completed degree. There is no use in joining finance.,completed degree use joining finance
1,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,free 1st week no1 nokia tone 4 ur mob every week txt nokia 8007 get txting tell ur mates pobox 36504 w45wq
0,Don know..wait i will check it.,know wait check
1,Sunshine Quiz! Win a super Sony DVD recorder if you canname the capital of Australia? Text MQUIZ to 82277. B,sunshine quiz win super sony dvd recorder canname capital australia text mquiz b
0,Can you plz tell me the ans. BSLVYL sent via fullonsms.com,plz tell ans bslvyl sent via
0,"Awesome question with a cute answer: Someone asked a boy ""how is ur life?"" . . He smiled &amp; answered: . . ""She is fine!"" Gudnite",awesome question cute answer someone asked boy ur life smiled amp answered fine gudnite
0,I want snow. It's just freezing and windy.,want snow freezing windy
0,Many times we lose our best ones bcoz we are ,many times lose best ones bcoz
1,Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201,valentines day special win quiz take partner trip lifetime send go 83600 rcvd
0,How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!,feel real valentine yo valentine even tho u hardly play
0,Quite lor. But dun tell him wait he get complacent...,quite lor dun tell wait get complacent
0,"Kind of. Just missed train cos of asthma attack, nxt one in half hr so driving in. not sure where to park.",kind missed train cos asthma attack nxt one half hr driving sure park
1,"As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr",sim subscriber selected receive bonus get delivered door txt word ok 88600 claim exp 30apr
1,A £400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a £400 reward. Just call 09066380611,xmas reward waiting computer randomly picked loyal mobile customers receive reward call 09066380611
0,Nokia phone is lovly..,nokia phone lovly
0,"Honey, can you pls find out how much they sell Predicte in Nigeria. And how many times can it be used. Its very important to have a reply before monday",honey pls find much sell predicte nigeria many times used important reply monday
0,How much for an eighth?,much eighth
0,Yup ok thanx...,yup ok thanx
0,My sister got placed in birla soft da:-),sister got placed birla soft da
0,I think that tantrum's finished so yeah I'll be by at some point,think tantrum finished yeah point
0,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",hi frnd best way avoid missunderstding wit beloved one
0,Happy birthday to you....dear.with lots of love.rakhesh NRI,happy birthday lots nri
0,In that case I guess I'll see you at campus lodge,case guess see campus lodge
1,"Sppok up ur mob with a Halloween collection of nokia logo&pic message plus a FREE eerie tone, txt CARD SPOOK to 8007",sppok ur mob halloween collection nokia logo pic message plus free eerie tone txt card spook 8007
1,You have WON a guaranteed £1000 cash or a £2000 prize.To claim yr prize call our customer service representative on,guaranteed cash claim yr prize call customer service representative
0,This pay is  &lt;DECIMAL&gt;  lakhs:),pay lt decimal gt lakhs
0,I told that am coming on wednesday.,told coming wednesday
0,"Awesome, think we can get an 8th at usf some time tonight?",awesome think get 8th usf time tonight
1,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,buy space invaders 4 chance 2 win orig arcade game console press 0 games arcade std wap charge see 4 terms settings purchase
0,There bold 2  &lt;#&gt; . Is that yours,bold 2 lt gt
0,Dai  &lt;#&gt;  naal eruku.,dai lt gt naal eruku
0,Was the actual exam harder than NBME,actual exam harder nbme
0,"Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!",u u 2 u b moving flat cos need arrange pick lamp etc take care hello caroline
0,"Anyway I don't think I can secure anything up here, lemme know if you want me to drive down south and chill",anyway think secure anything lem know want drive south chill
0,"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it....",rose red red blood blood heart heart u send tis ur friends including u like u get back r poor relation need 1 support r frnd 2 many luvs u some1 praying god marry try
0,Okey dokey swashbuckling stuff what oh.,okey dokey swashbuckling stuff oh
0,Ha ha - had popped down to the loo when you hello-ed me. Hello!,ha ha popped loo hello
0,Wat time u finish ur lect today?,wat time u finish ur lect today
0,HI DARLIN IM MISSIN U HOPE YOU ARE HAVING A GOOD TIME. WHEN ARE U BACK AND WHAT TIME IF U CAN GIVE ME A CALL AT HOME. JESS XX,hi darlin im missin u hope good time u back time u give call home jess xx
1,sexy sexy cum and text me im wet and warm and ready for some porn! u up for some fun? THIS MSG IS FREE RECD MSGS 150P INC VAT 2 CANCEL TEXT STOP,sexy sexy cum text im wet warm ready porn u fun msg free recd msgs 150p inc vat 2 cancel text stop
1,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,nokia 7250i get win free auction take part send nokia 86021
0,No no. I will check all rooms befor activities,check rooms befor activities
0,Sorry da..today i wont come to play..i have driving clas..,sorry da today wont come play driving clas
0,R u over scratching it?,r u scratching
0,K tell me anything about you.,k tell anything
1,Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app ,todays voda numbers ending 5226 selected receive 350 award hava match please call 08712300220 quoting claim code 1131 standard rates app
1,You have 1 new message. Call 0207-083-6089,1 new message call
0,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",say god love amp need clean heart ten special people amp u c miracle tomorrow pls pls
0,"Erm... Woodland avenue somewhere. Do you get the parish magazine, his telephone number will be in there.",erm woodland avenue somewhere get parish magazine telephone number
0,I am taking you for italian food. How about a pretty dress with no panties? :),taking italian food pretty dress panties
0,Yup... How ü noe leh...,yup ü noe leh
0,Not yet. Just i'd like to keep in touch and it will be the easiest way to do that from barcelona. By the way how ru and how is the house?,yet like keep touch easiest way barcelona way ru house
0,Have you got Xmas radio times. If not i will get it now,got xmas radio times get
1,Free Msg: Ringtone!From: http://tms. widelive.com/index. wml?id=1b6a5ecef91ff9*37819&first=true18:0430-JUL-05,free msg ringtone http wml 37819
0,I knew it... U slept v late yest? Wake up so late...,knew u slept v late yest wake late
1,Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp £1.50/msg,wan na get laid 2nite want real dogging locations sent direct ur mobile join uk largest dogging network txt park 69696 nyt ec2a 3lp
0,"Come to me, slave. Your doing it again ... Going into your shell and unconsciously avoiding me ... You are making me unhappy :-(",come slave going shell unconsciously avoiding making unhappy
0,They will pick up and drop in car.so no problem..,pick drop problem
0,"Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOOD NIGHT",beautiful truth gravity read carefully heart feels light someone feels heavy someone leaves good night
0,Audrie lousy autocorrect,audrie lousy autocorrect
0,Where wuld I be without my baby? The thought alone mite break me and I dont wanna go crazy but everyboy needs his lady xxxxxxxx,wuld without baby thought alone mite break wan na go crazy everyboy needs lady xxxxxxxx
0,"K give me a sec, breaking a  &lt;#&gt;  at cstore",k give sec breaking lt gt cstore
0,Somebody set up a website where you can play hold em using eve online spacebucks,somebody set website play hold em using eve online spacebucks
0,Juz go google n search 4 qet...,juz go google n search 4 qet
1,"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy ",prize go another customer c polo ltd suite 373 london w1j 6hl please call back busy
0,I will spoil you in bed as well :),spoil bed well
0,I wanna watch that movie,wan na watch movie
